record_id,td_sim_0,td_sim_1,td_sim_2,td_sim_3,td_sim_4,td_sim_5,td_sim_6,td_sim_7,td_sim_8,td_sim_9,td_sim_10,td_sim_11,td_sim_12,td_sim_13,td_sim_14,td_sim_15,td_sim_16,td_sim_17,td_sim_18,td_sim_19,record_atd
4551,4668.0,3030.0,2212.0,264.0,4937.0,139.0,5134.0,3659.0,300.0,5135.0,3330.0,2733.0,587.0,3215.0,2044.0,945.0,344.0,2870.0,1903.0,345.0,2389.7
4565,4166.0,1197.0,90.0,3900.0,2134.0,1735.0,5043.0,918.0,2407.0,1107.0,4878.0,3182.0,4076.0,2483.0,2976.0,3344.0,3231.0,742.0,4214.0,3918.0,2787.05
4568,19.0,356.0,623.0,549.0,1327.0,2516.0,2980.0,1440.0,3365.0,73.0,3034.0,399.0,2088.0,1197.0,4983.0,2960.0,2284.0,2063.0,3546.0,352.0,1807.7
4577,1654.0,896.0,3220.0,2615.0,2896.0,2469.0,289.0,1315.0,647.0,2833.0,19.0,1861.0,2357.0,4135.0,1372.0,2808.0,218.0,2838.0,557.0,92.0,1754.55
4580,5174.0,3286.0,1824.0,3974.0,4918.0,3447.0,3170.0,1761.0,3665.0,3328.0,1600.0,4247.0,3595.0,3530.0,890.0,3862.0,4088.0,934.0,329.0,96.0,2885.9
4585,690.0,1747.0,84.0,1801.0,1785.0,1755.0,4856.0,1449.0,1201.0,597.0,1527.0,2993.0,2304.0,3156.0,4343.0,1923.0,3428.0,3085.0,2779.0,119.0,2081.1
4597,1291.0,5012.0,655.0,1535.0,3974.0,4133.0,1394.0,3009.0,3158.0,1070.0,742.0,2442.0,2420.0,199.0,4206.0,2455.0,3615.0,600.0,2743.0,198.0,2242.55
4609,2205.0,4708.0,1724.0,3241.0,4282.0,1135.0,1974.0,2357.0,2722.0,3655.0,4817.0,1214.0,1405.0,376.0,950.0,575.0,3686.0,1734.0,3555.0,158.0,2323.65
4621,4603.0,4581.0,5184.0,4667.0,2295.0,4961.0,281.0,1942.0,1159.0,149.0,2751.0,3309.0,1144.0,4872.0,1835.0,903.0,869.0,3634.0,2276.0,201.0,2580.8
4625,1321.0,4631.0,2599.0,1556.0,667.0,4562.0,2804.0,403.0,1313.0,68.0,4358.0,653.0,689.0,80.0,57.0,59.0,55.0,37.0,35.0,28.0,1298.75
4644,1027.0,3331.0,4094.0,2143.0,3262.0,3195.0,4641.0,3612.0,1168.0,2066.0,886.0,111.0,84.0,241.0,51.0,46.0,43.0,27.0,50.0,20.0,1504.9
4647,42.0,1311.0,1984.0,4785.0,28.0,2657.0,113.0,330.0,2479.0,4173.0,4148.0,1205.0,2085.0,10.0,3626.0,4472.0,4082.0,663.0,284.0,59.0,1926.8
4650,871.0,2341.0,4517.0,2588.0,2339.0,3514.0,3240.0,3119.0,615.0,1138.0,641.0,1329.0,432.0,175.0,113.0,85.0,79.0,44.0,37.0,30.0,1362.35
4653,2315.0,3255.0,371.0,1607.0,4971.0,684.0,4738.0,5039.0,2877.0,2974.0,1366.0,5100.0,4902.0,1839.0,4457.0,1184.0,1116.0,2296.0,1095.0,143.0,2616.45
4654,4649.0,3472.0,2415.0,4349.0,2193.0,565.0,3102.0,2483.0,1982.0,4209.0,2790.0,4957.0,4611.0,4097.0,4323.0,3295.0,551.0,1632.0,502.0,106.0,2814.15
4655,162.0,481.0,4371.0,601.0,4776.0,123.0,1901.0,494.0,2847.0,1797.0,4871.0,408.0,4613.0,1281.0,4089.0,661.0,1498.0,1289.0,1123.0,93.0,1873.95
4656,3241.0,3941.0,5175.0,4245.0,3016.0,4984.0,195.0,3647.0,820.0,4171.0,790.0,3063.0,1260.0,2403.0,4260.0,3511.0,3984.0,888.0,746.0,100.0,2722.0
4669,2533.0,2250.0,2388.0,4633.0,878.0,3022.0,3593.0,2762.0,2758.0,3943.0,1625.0,4260.0,1778.0,3990.0,3645.0,3905.0,2910.0,261.0,2812.0,423.0,2718.45
4672,4766.0,299.0,841.0,2727.0,2856.0,925.0,3684.0,3442.0,2741.0,543.0,1101.0,3746.0,3095.0,3389.0,3185.0,4016.0,229.0,4381.0,1972.0,230.0,2408.4
4676,4190.0,3597.0,2515.0,2743.0,2408.0,2393.0,1023.0,1417.0,2939.0,1670.0,909.0,1244.0,712.0,216.0,145.0,103.0,81.0,49.0,42.0,32.0,1421.4
4686,3469.0,1485.0,3601.0,74.0,4083.0,4250.0,1001.0,4816.0,124.0,1636.0,743.0,2076.0,2821.0,1536.0,2671.0,3158.0,3586.0,1109.0,726.0,99.0,2153.2
4688,249.0,4016.0,1268.0,4384.0,1235.0,1047.0,1402.0,4402.0,3487.0,3834.0,4714.0,2038.0,5056.0,3437.0,4620.0,2016.0,2812.0,2461.0,2152.0,169.0,2739.95
