record_id,td_sim_0,td_sim_1,td_sim_2,td_sim_3,td_sim_4,td_sim_5,td_sim_6,td_sim_7,td_sim_8,td_sim_9,td_sim_10,td_sim_11,td_sim_12,td_sim_13,td_sim_14,td_sim_15,td_sim_16,td_sim_17,td_sim_18,td_sim_19,record_atd
4546,3918.0,9356.0,1418.0,2299.0,2820.0,9024.0,6873.0,3349.0,7870.0,5623.0,870.0,2040.0,4377.0,4828.0,8338.0,6581.0,5755.0,6987.0,280.0,264.0,4643.5
4547,2846.0,1969.0,150.0,6148.0,3463.0,352.0,8705.0,223.0,131.0,113.0,111.0,9.0,34.0,37.0,23.0,16.0,12.0,10.0,9.0,8.0,1218.45
4548,2709.0,7734.0,748.0,8083.0,2431.0,7645.0,8186.0,5658.0,4606.0,727.0,81.0,1666.0,345.0,132.0,55.0,40.0,23.0,14.0,18.0,12.0,2545.65
4549,1799.0,7418.0,9365.0,9356.0,3240.0,8443.0,8872.0,6509.0,5633.0,2210.0,4248.0,2923.0,5864.0,8820.0,2550.0,90.0,71.0,32.0,31.0,27.0,4375.05
4550,2052.0,5332.0,1430.0,3161.0,709.0,2652.0,4278.0,6190.0,2046.0,5443.0,6047.0,1021.0,8483.0,7333.0,4381.0,569.0,182.0,85.0,77.0,43.0,3075.7
4551,5875.0,2412.0,6078.0,1213.0,5356.0,2707.0,4935.0,5785.0,1623.0,5040.0,8990.0,5202.0,6788.0,7488.0,8450.0,8820.0,6337.0,4465.0,765.0,104.0,4921.65
4552,4116.0,7276.0,669.0,4715.0,2805.0,491.0,7899.0,9280.0,4177.0,5066.0,5678.0,8733.0,4943.0,6016.0,1134.0,4221.0,5490.0,270.0,142.0,39.0,4158.0
4553,2716.0,5341.0,1102.0,3091.0,3003.0,2430.0,8335.0,5050.0,8863.0,6718.0,4910.0,3452.0,4764.0,3157.0,5786.0,6381.0,7109.0,2001.0,1082.0,257.0,4277.4
4554,79.0,6429.0,5868.0,5038.0,6241.0,3350.0,6981.0,7433.0,1436.0,5473.0,6961.0,5444.0,5204.0,2846.0,2577.0,7702.0,6781.0,51.0,45.0,26.0,4298.25
4555,7112.0,5764.0,740.0,3231.0,8660.0,196.0,8063.0,6090.0,8134.0,741.0,218.0,3005.0,283.0,157.0,175.0,73.0,53.0,24.0,26.0,16.0,2638.05
4556,3671.0,7637.0,1696.0,2721.0,598.0,9032.0,6336.0,5832.0,9130.0,4449.0,6926.0,5951.0,8843.0,8648.0,2511.0,3963.0,8250.0,8478.0,4340.0,189.0,5460.05
4557,3962.0,8896.0,4378.0,2056.0,8605.0,291.0,4364.0,4814.0,2468.0,6345.0,3513.0,696.0,7999.0,7043.0,1176.0,275.0,105.0,107.0,70.0,32.0,3359.75
4558,6516.0,5184.0,881.0,1846.0,1652.0,5094.0,2338.0,8970.0,4426.0,1705.0,8317.0,1020.0,3903.0,1088.0,709.0,6357.0,876.0,99.0,1400.0,284.0,3133.25
4559,7652.0,2716.0,6363.0,8509.0,1845.0,2244.0,6028.0,2415.0,2732.0,964.0,6376.0,1380.0,6922.0,7957.0,3786.0,260.0,429.0,196.0,50.0,25.0,3442.45
4560,4585.0,4216.0,8890.0,1379.0,2194.0,4167.0,4251.0,2161.0,5880.0,8155.0,5786.0,9205.0,6601.0,4232.0,4594.0,825.0,4823.0,1853.0,9149.0,353.0,4664.95
4561,7151.0,9235.0,6917.0,6315.0,8350.0,5686.0,3599.0,9121.0,3094.0,7438.0,3426.0,4016.0,7423.0,2972.0,543.0,1587.0,1286.0,450.0,188.0,59.0,4442.8
4562,4159.0,535.0,5065.0,7612.0,5905.0,343.0,5858.0,8875.0,1831.0,3939.0,6583.0,651.0,825.0,1290.0,1440.0,266.0,130.0,113.0,72.0,34.0,2776.3
4563,411.0,5277.0,5747.0,9164.0,1161.0,3866.0,2436.0,4337.0,1789.0,8341.0,5403.0,4629.0,1350.0,4291.0,2936.0,7473.0,3621.0,2319.0,1437.0,71.0,3802.95
4564,5606.0,1232.0,7876.0,2562.0,1240.0,6360.0,6091.0,2901.0,3914.0,5567.0,2249.0,702.0,6246.0,3984.0,6996.0,6624.0,588.0,216.0,98.0,89.0,3557.05
4565,5621.0,5214.0,2766.0,780.0,3211.0,4922.0,9189.0,4688.0,8992.0,6215.0,8545.0,8230.0,2817.0,6477.0,3292.0,4393.0,2145.0,311.0,145.0,48.0,4400.05
4566,3083.0,1254.0,2578.0,4152.0,7036.0,8709.0,3768.0,1652.0,585.0,1418.0,7312.0,2862.0,2917.0,4846.0,2844.0,454.0,2291.0,425.0,169.0,52.0,2920.35
4568,2525.0,3313.0,4790.0,3625.0,4692.0,4904.0,2277.0,5877.0,8106.0,7317.0,9112.0,4493.0,7054.0,178.0,8425.0,5063.0,4458.0,7104.0,413.0,46.0,4688.6
4569,7049.0,6661.0,1399.0,3351.0,2407.0,7063.0,7305.0,6899.0,631.0,2152.0,7305.0,4840.0,257.0,6039.0,6033.0,562.0,92.0,105.0,69.0,20.0,3511.95
4570,976.0,6277.0,3808.0,8282.0,3961.0,8440.0,2570.0,4854.0,2116.0,1432.0,4374.0,5067.0,765.0,5078.0,6439.0,9062.0,1350.0,2554.0,2720.0,92.0,4010.85
4571,2555.0,240.0,2952.0,1481.0,3412.0,2531.0,4164.0,5583.0,8790.0,929.0,2577.0,3538.0,1274.0,6143.0,1152.0,8374.0,5456.0,2916.0,218.0,61.0,3217.3
4572,8055.0,2554.0,1211.0,970.0,925.0,4827.0,3317.0,6682.0,6693.0,5532.0,2760.0,9208.0,824.0,1443.0,7122.0,6026.0,5945.0,1566.0,115.0,98.0,3793.65
4573,6266.0,3397.0,7740.0,9331.0,1760.0,4339.0,7819.0,5404.0,3152.0,3395.0,292.0,1254.0,7372.0,170.0,180.0,71.0,54.0,18.0,25.0,18.0,3102.85
4574,7163.0,2262.0,5816.0,2877.0,7817.0,1680.0,5066.0,7673.0,5864.0,8896.0,5920.0,3041.0,220.0,481.0,251.0,80.0,79.0,28.0,34.0,21.0,3263.45
4575,7316.0,8561.0,7379.0,3749.0,804.0,1353.0,6424.0,6426.0,7279.0,4292.0,4849.0,6660.0,7161.0,1066.0,1600.0,2510.0,2642.0,555.0,197.0,58.0,4044.05
4576,139.0,8379.0,1874.0,3958.0,3996.0,5788.0,4020.0,7455.0,244.0,804.0,9111.0,1921.0,180.0,7731.0,216.0,6154.0,1046.0,1003.0,203.0,55.0,3213.85
4577,3988.0,4011.0,2728.0,1809.0,9254.0,4104.0,2536.0,2434.0,3743.0,7816.0,745.0,4394.0,8622.0,4028.0,3086.0,2495.0,818.0,186.0,63.0,28.0,3344.4
4578,3060.0,816.0,5133.0,3969.0,2909.0,1399.0,6571.0,3205.0,6206.0,4688.0,4714.0,5102.0,7393.0,3939.0,699.0,5085.0,1128.0,521.0,184.0,57.0,3338.9
4579,3320.0,8272.0,5480.0,4745.0,5098.0,1163.0,1736.0,8729.0,6900.0,4359.0,8406.0,261.0,3010.0,1845.0,57.0,45.0,28.0,7030.0,14.0,10.0,3525.4
4580,6164.0,7797.0,3348.0,1161.0,8079.0,3651.0,9174.0,4108.0,9042.0,622.0,173.0,6867.0,173.0,118.0,54.0,38.0,22.0,13.0,17.0,11.0,3031.6
4581,8759.0,8688.0,5829.0,6794.0,7174.0,878.0,9129.0,164.0,46.0,100.0,79.0,3.0,18.0,30.0,17.0,15.0,10.0,9.0,8.0,7.0,2387.85
average_simulation_TD,4713.36,4823.8533333333335,4414.786666666667,4638.666666666667,4475.213333333333,4411.053333333333,4909.093333333333,5135.826666666667,4769.08,4630.88,4903.7733333333335,4355.386666666666,4310.48,3817.8,3799.213333333333,3652.04,3175.3866666666668,2782.88,2107.4,561.36,
